d_Mpc	prob
13.323138276370099	0.04309451286197407
17.777736707169304	0.0005083802030261336
22.239098905867618	0.011575807951969498
31.18208485495886	0.0015083607279149738
44.64710613238465	0.00023691081912453787
62.6945014767824	0.0014366518340541748
76.30031333803744	0.11531037528500278
89.96613008088508	0.0008681027470149839
117.47697786699482	0.017219128870707413
126.7001438397075	0.0031896935519498885
131.32160917589286	0.01318154423568359
135.9496528912767	0.3190713457303143
173.20993827628746	0.0005086383550440324
177.8968552615624	0.00044691543685973457
187.29019571831978	0.003974665202724818
191.9966044683596	0.0005693261041248113
201.42886222857928	0.0010166425985837816
206.15469653377232	0.02870099458627457
220.37093297880637	0.0039413410553349355
234.64511555441302	0.0009586029565120051
244.19333177236703	0.005115589558497059
248.97704624809973	0.007936550856150873
268.1757757910967	0.02621601660329699
282.6416834227216	0.0006423308801389517
292.3173505979676	0.003151365148181292
306.87829859771773	0.02735959111490377
311.7445713784397	0.00025857714919819353
326.3811581477977	0.0004122390646141911
331.27258563730373	0.0031872175462861526
360.7525770985508	0.004252608875329275
370.62913410638174	0.000518105465652812
390.45674035137006	0.001425229631674919
435.4298918812638	0.0026647690826972995
496.16415872999204	0.042207099934255136
506.3713299940274	0.0010922954816069243
526.8578386040843	0.00039057273454053544
537.1370620670143	5.76385844725407e-05
547.4401891637532	0.0005249244692525893
578.4924249710162	0.024894526179544952
594.0985482619697	0.0009910322793477819
614.9892529496012	0.0002727652660549373
625.469852959726	0.0019693464741629666
641.2346544431599	0.0046388124894081485
710.1531927930439	0.00046740369224853424
731.5549080753345	0.0019283699633853672
796.307063346731	0.0065945701281844935
823.5272442063718	0.0046572498704325295
850.8874132307274	0.007834109579206874
889.4252080012092	0.0008515584807885282
939.370770033065	0.0005544787776509329
1046.2571185690938	0.0005863892354189883
1051.936421361667	0.007305356879434888
1063.3109928571616	0.0025623257569277625
1074.706808308312	0.00042248319230859095
1086.1238150898155	0.005354605545862796
1114.758699635411	0.002388177634948504
1143.5248838683242	0.0035120552500308784
1166.6318197188011	0.010374653247418033
1172.4215535310109	0.013309595831863587
1184.0165756581823	0.009893179245781243
1201.4478982324902	0.012474699424770001
1230.6031114805432	0.011634680953829213
1248.1577623013327	0.04228393294078867
1271.6353818601044	0.0036084069052669406
1324.7564676661482	0.0007502952785293858
1354.4442111225953	0.0018862153779229118
1378.2842553866371	0.001185670705541379
1390.2340895961515	0.000384827827729516
1396.2164378731964	0.0028542854450436966
1456.3109159239789	0.000861802608482928
1462.3473270530892	0.002198661272602107
1474.4347763953924	0.0006256600989354702
1571.8308899160602	0.0044472452526973325
1590.2293003089364	0.0022100834749813627
1620.9882384150628	0.0014673842171373744
1627.1542101781404	0.001047374981666981
1795.397966676489	0.0020296331656445097
1871.2457709096884	0.0004366713091653347
1947.7396345426466	0.00025687150193707593
2167.89568190142	0.0020474733140243067
2226.999845048887	0.004913353062792525
2233.5879614920386	0.0015186048556093737
2240.18025581947	0.002705745593474899
2273.204210010683	0.022798132033716036
2286.4428514568235	0.0020155628562562515
2359.549948636954	0.015136994550629102
2419.732193347907	0.0024957409757397023
2507.2376732480434	0.000605699416122932
2615.8556277655784	0.005078439229413318
2629.50323640144	0.011388821889163618
2636.3328574381185	0.0038901204168629365
2643.166349739511	0.010509122789598573
2732.351813367913	0.00025739907451333756
2753.024738849481	0.0007656614700709856
2773.7317639323674	0.0011276223559610623
2877.773883860752	0.0014264077063597751
2891.7094749882826	0.001498116600220574
2926.6130224838193	0.0018408851128751927
2975.6320479915494	0.002630092710451756
2989.6703029851315	0.004457491429217272
3359.6562503308705	0.0002522770106661376
3402.950233279836	0.0005032581391789336
3475.3764858266095	0.00017998932359060516
3577.332451789446	0.00038150668153099157
3621.225125604674	0.0008373703639317844
